timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286860.2700794,49,2,mouse,0.97294,101.61,107.73,383.28,319.87,49.155,7.500
1788286860.2705808,49,2,mouse,0.95565,380.36,61.38,640.00,401.99,49.155,7.500
1788286860.4018793,50,2,mouse,0.97926,113.46,106.79,389.01,318.07,48.298,7.500
1788286860.4023852,50,2,mouse,0.95695,384.58,55.39,639.86,400.16,48.298,7.500
1788286860.4028351,50,2,mouse,0.53971,0.00,99.00,183.46,382.21,48.298,7.500
1788286860.538441,51,2,mouse,0.96839,386.83,46.07,640.00,388.02,48.167,7.499
1788286860.5389457,51,2,mouse,0.95660,116.48,105.14,391.12,315.55,48.167,7.499
1788286860.6694303,52,2,mouse,0.94870,119.92,98.45,395.26,308.49,48.351,7.500
1788286860.6699846,52,2,mouse,0.94216,390.11,36.73,640.00,381.53,48.351,7.500
1788286860.8016,53,2,mouse,0.95157,126.48,95.70,405.77,305.96,48.550,7.500
1788286860.8021374,53,2,mouse,0.88961,402.15,3.86,640.00,381.89,48.550,7.500
1788286860.9373302,54,2,mouse,0.95735,126.43,89.25,407.93,304.16,48.313,7.500
1788286860.9378593,54,2,mouse,0.90168,405.40,8.37,639.42,382.17,48.313,7.500
1788286861.0699096,55,2,mouse,0.96982,104.81,79.96,386.79,303.16,48.468,7.500
1788286861.0704093,55,2,mouse,0.87612,382.09,2.59,639.59,381.83,48.468,7.500
1788286861.2018893,56,2,mouse,0.96553,88.97,77.85,376.21,304.52,48.366,7.500
1788286861.2023854,56,2,mouse,0.92318,371.95,17.51,638.95,380.98,48.366,7.500
1788286861.2028465,56,2,mouse,0.57737,0.07,116.56,150.97,375.49,48.366,7.500
1788286861.3379216,57,2,mouse,0.96308,86.82,77.62,374.82,305.30,48.312,7.500
1788286861.338433,57,2,mouse,0.92517,370.81,14.08,639.13,381.95,48.312,7.500
1788286861.3388846,57,2,mouse,0.53710,0.44,90.73,151.20,373.22,48.312,7.500
1788286861.4698548,58,2,mouse,0.97007,88.40,81.81,374.61,309.16,48.395,7.500
1788286861.4703724,58,2,mouse,0.92061,370.49,24.84,639.04,384.36,48.395,7.500
1788286861.4708261,58,2,mouse,0.59960,0.01,106.72,155.74,379.51,48.395,7.500
1788286861.6020982,59,2,mouse,0.96841,95.60,85.01,381.57,309.22,48.552,7.500
1788286861.6026063,59,2,mouse,0.95190,378.58,29.08,640.00,390.33,48.552,7.500
1788286861.6030712,59,2,mouse,0.37748,0.47,85.24,167.79,375.67,48.552,7.500
1788286861.7380047,60,2,mouse,0.96832,103.80,81.00,390.23,306.11,48.391,7.500
1788286861.7385116,60,2,mouse,0.96207,384.94,30.12,640.00,389.45,48.391,7.500
1788286861.738959,60,2,mouse,0.55467,0.43,93.13,168.22,373.79,48.391,7.500
1788286861.8703518,61,2,mouse,0.98059,104.19,79.64,391.79,307.96,47.784,7.500
1788286861.870867,61,2,mouse,0.94953,388.31,27.95,639.99,389.57,47.784,7.500
1788286861.8713284,61,2,mouse,0.67272,0.42,100.05,180.25,373.56,47.784,7.500
1788286862.001525,62,2,mouse,0.98182,108.76,80.02,391.99,306.63,48.180,7.500
1788286862.0020828,62,2,mouse,0.95322,388.00,28.99,640.00,389.56,48.180,7.500
1788286862.0025308,62,2,mouse,0.76671,0.44,100.14,169.77,372.97,48.180,7.500
1788286862.1379855,63,2,mouse,0.98116,98.30,77.22,389.61,303.90,48.321,7.500
1788286862.138475,63,2,mouse,0.94715,385.35,24.25,640.00,388.35,48.321,7.500
1788286862.1389527,63,2,mouse,0.56857,0.43,93.35,182.95,371.97,48.321,7.500
1788286862.2698298,64,2,mouse,0.97403,93.33,75.31,384.23,306.08,48.437,7.500
1788286862.2703276,64,2,mouse,0.94133,381.72,20.96,640.00,392.84,48.437,7.500
1788286862.2707772,64,2,mouse,0.36755,0.00,61.84,172.92,373.67,48.437,7.500
1788286862.4014122,65,2,mouse,0.84603,360.64,2.24,640.00,391.51,48.172,7.500
1788286862.4019504,65,2,mouse,0.66370,82.55,78.12,352.83,332.46,48.172,7.500
1788286862.5378675,66,2,mouse,0.94528,3.42,96.66,296.22,329.44,48.190,7.499
1788286862.5383728,66,2,mouse,0.89300,294.76,30.99,637.68,398.83,48.190,7.499
1788286862.6694095,67,2,mouse,0.95543,1.38,112.49,265.55,342.14,48.331,7.500
1788286862.6699426,67,2,mouse,0.74237,261.28,11.07,619.09,400.62,48.331,7.500
1788286862.80143,68,2,mouse,0.93630,0.30,117.60,249.44,349.04,48.447,7.500
